Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
ALMONT COMMUNITY SCHOOLS,Michigan,MI ,Almont Community Schools,2602670,12344,1-Regular local school district that is NOT a component of a supervisory union
ALPAUGH UNIFIED,California,CA ,Alpaugh Unified,0602010,20538,1-Regular local school district that is NOT a component of a supervisory union
ALPENA PUBLIC SCHOOLS,Michigan,MI ,Alpena Public Schools,2602730,15385,1-Regular local school district that is NOT a component of a supervisory union
ALPENA SCHOOL DISTRICT,Arkansas,AR ,ALPENA SCHOOL DISTRICT,0502280,11811,1-Regular local school district that is NOT a component of a supervisory union
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,MI ,Alpena-Montmorency-Alcona ESD,2680120,–,9-Specialized public school district
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,NJ ,Alpha Borough School District,3400840,38276,1-Regular local school district that is NOT a component of a supervisory union
ALPINE COUNTY OFFICE OF EDUCATION,California,CA ,Alpine County Office of Education,0691058,†,1-Regular local school district that is NOT a component of a supervisory union
ALPINE COUNTY UNIFIED,California,CA ,Alpine County Unified,0602070,107557,1-Regular local school district that is NOT a component of a supervisory union
ALPINE DISTRICT,Utah,UT ,Alpine District,4900030,9402,1-Regular local school district that is NOT a component of a supervisory union
ALPINE ELEMENTARY DISTRICT (4161),Arizona,AZ ,Alpine Elementary District (4161),0400630,24891,1-Regular local school district that is NOT a component of a supervisory union
ALPINE ISD,Texas,TX ,ALPINE ISD,4807950,31359,1-Regular local school district that is NOT a component of a supervisory union
ALPINE SCHOOL DISTRICT,New Jersey,NJ ,Alpine School District,3400870,48013,1-Regular local school district that is NOT a component of a supervisory union
ALPINE UNION ELEMENTARY,California,CA ,Alpine Union Elementary,0602100,14073,1-Regular local school district that is NOT a component of a supervisory union
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,IL ,Alsip-Hazlgrn-Oaklwn SD 126,1703480,16121,1-Regular local school district that is NOT a component of a supervisory union
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,VA ,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,5100078,–,9-Specialized public school district
ALTA LOMA ELEMENTARY,California,CA ,Alta Loma Elementary,0602160,15501,1-Regular local school district that is NOT a component of a supervisory union
ALTA VISTA ELEMENTARY,California,CA ,Alta Vista Elementary,0602220,19926,1-Regular local school district that is NOT a component of a supervisory union
ALTA-AURELIA COMM SCHOOL DISTRICT,Iowa,IA ,Alta-Aurelia Comm School District,1903480,15444,1-Regular local school district that is NOT a component of a supervisory union
ALTA-DUTCH FLAT UNION ELEMENTARY,California,CA ,Alta-Dutch Flat Union Elementary,0602250,17778,1-Regular local school district that is NOT a component of a supervisory union
ALTAMONT CUSD 10,Illinois,IL ,Altamont CUSD 10,1703510,13593,1-Regular local school district that is NOT a component of a supervisory union
ALTAR VALLEY ELEMENTARY DISTRICT (4418),Arizona,AZ ,Altar Valley Elementary District (4418),0404770,17497,1-Regular local school district that is NOT a component of a supervisory union
ALTENBURG 48,Missouri,MO ,ALTENBURG 48,2903040,12773,1-Regular local school district that is NOT a component of a supervisory union
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,NY ,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,3602820,37986,1-Regular local school district that is NOT a component of a supervisory union
ALTO ISD,Texas,TX ,ALTO ISD,4807980,27932,1-Regular local school district that is NOT a component of a supervisory union
ALTON CUSD 11,Illinois,IL ,Alton CUSD 11,1703600,17463,1-Regular local school district that is NOT a component of a supervisory union
ALTON R-IV,Missouri,MO ,ALTON R-IV,2903060,12375,1-Regular local school district that is NOT a component of a supervisory union
ALTON SCHOOL DISTRICT,New Hampshire,NH ,Alton School District,3301440,50549,2-Local school district that is a component of a supervisory union
ALTOONA AREA SD,Pennsylvania,PA ,Altoona Area SD,4202340,17018,1-Regular local school district that is NOT a component of a supervisory union
ALTOONA SCHOOL DISTRICT,Wisconsin,WI ,Altoona School District,5500270,14016,1-Regular local school district that is NOT a component of a supervisory union
ALTOONA-MIDWAY,Kansas,KS ,Altoona-Midway,2004170,19263,1-Regular local school district that is NOT a component of a supervisory union
ALTUS,Oklahoma,OK ,ALTUS,4002850,10233,1-Regular local school district that is NOT a component of a supervisory union
ALUM ROCK UNION ELEMENTARY,California,CA ,Alum Rock Union Elementary,0602310,19026,1-Regular local school district that is NOT a component of a supervisory union
ALVA,Oklahoma,OK ,ALVA,4002880,13173,1-Regular local school district that is NOT a component of a supervisory union
ALVARADO ISD,Texas,TX ,ALVARADO ISD,4800011,12293,1-Regular local school district that is NOT a component of a supervisory union
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,CA ,Alview-Dairyland Union Elementary,0602360,14375,1-Regular local school district that is NOT a component of a supervisory union
ALVIN C YORK INSTITUTE,Tennessee,TN ,Alvin C York Institute,4700144,–,9-Specialized public school district
ALVIN ISD,Texas,TX ,ALVIN ISD,4808090,15620,1-Regular local school district that is NOT a component of a supervisory union
ALVORD ISD,Texas,TX ,ALVORD ISD,4808100,13426,1-Regular local school district that is NOT a component of a supervisory union
ALVORD UNIFIED,California,CA ,Alvord Unified,0602430,17788,1-Regular local school district that is NOT a component of a supervisory union
ALWOOD CUSD 225,Illinois,IL ,AlWood CUSD 225,1703660,19997,1-Regular local school district that is NOT a component of a supervisory union
ALZADA ELEM,Montana,MT ,Alzada Elem,3001950,21100,1-Regular local school district that is NOT a component of a supervisory union
AMADOR COUNTY OFFICE OF EDUCATION,California,CA ,Amador County Office of Education,0691001,491273,1-Regular local school district that is NOT a component of a supervisory union
AMADOR COUNTY ROP,California,CA ,Amador County ROP,0600089,–,9-Specialized public school district
AMADOR COUNTY UNIFIED,California,CA ,Amador County Unified,0602450,14140,1-Regular local school district that is NOT a component of a supervisory union
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,NY ,AMAGANSETT UNION FREE SCHOOL DISTRICT,3602880,77700,1-Regular local school district that is NOT a component of a supervisory union
AMANDA-CLEARCREEK LOCAL,Ohio,OH ,Amanda-Clearcreek Local,3904684,14194,1-Regular local school district that is NOT a component of a supervisory union
AMARILLO ISD,Texas,TX ,AMARILLO ISD,4808130,12807,1-Regular local school district that is NOT a component of a supervisory union
AMBER-POCASSET,Oklahoma,OK ,AMBER-POCASSET,4002910,20680,1-Regular local school district that is NOT a component of a supervisory union
AMBOY CUSD 272,Illinois,IL ,Amboy CUSD 272,1703690,25314,1-Regular local school district that is NOT a component of a supervisory union
AMBRIDGE AREA SD,Pennsylvania,PA ,Ambridge Area SD,4202440,20404,1-Regular local school district that is NOT a component of a supervisory union
AMELIA COUNTY PUBLIC SCHOOLS,Virginia,VA ,AMELIA CO PBLC SCHS,5100180,13674,1-Regular local school district that is NOT a component of a supervisory union
AMELIA-NOTTOWAY VOCATIONAL-TECHNICAL CENTER,Virginia,VA ,AMELIA-NOTTOWAY VOC CTR,5100013,–,9-Specialized public school district
AMERICAN FALLS JOINT DISTRICT,Idaho,ID ,AMERICAN FALLS JOINT DISTRICT,1600060,11857,1-Regular local school district that is NOT a component of a supervisory union
AMERY SCHOOL DISTRICT,Wisconsin,WI ,Amery School District,5500300,18399,1-Regular local school district that is NOT a component of a supervisory union
AMES COMM SCHOOL DISTRICT,Iowa,IA ,Ames Comm School District,1903540,22143,1-Regular local school district that is NOT a component of a supervisory union
AMESBURY,Massachusetts,MA ,Amesbury,2501860,54817,1-Regular local school district that is NOT a component of a supervisory union
AMHERST,Massachusetts,MA ,Amherst,2501890,33961,1-Regular local school district that is NOT a component of a supervisory union
AMHERST CENTRAL SCHOOL DISTRICT,New York,NY ,AMHERST CENTRAL SCHOOL DISTRICT,3602920,23840,1-Regular local school district that is NOT a component of a supervisory union
AMHERST COUNTY PUBLIC SCHOOLS,Virginia,VA ,AMHERST CO PBLC SCHS,5100210,13911,1-Regular local school district that is NOT a component of a supervisory union
AMHERST EXEMPTED VILLAGE,Ohio,OH ,Amherst Exempted Village,3904519,12334,1-Regular local school district that is NOT a component of a supervisory union
AMHERST ISD,Texas,TX ,AMHERST ISD,4808160,19031,1-Regular local school district that is NOT a component of a supervisory union
AMHERST PUBLIC SCHOOLS,Nebraska,NE ,AMHERST PUBLIC SCHOOLS,3100070,16366,1-Regular local school district that is NOT a component of a supervisory union
AMHERST SCHOOL DISTRICT,New Hampshire,NH ,Amherst School District,3301470,23298,2-Local school district that is a component of a supervisory union
AMHERST-PELHAM,Massachusetts,MA ,Amherst-Pelham,2501920,30323,1-Regular local school district that is NOT a component of a supervisory union
AMITE COUNTY SCHOOL DISTRICT,Mississippi,MS ,AMITE COUNTY SCHOOL DISTRICT,2800420,16047,1-Regular local school district that is NOT a component of a supervisory union
AMITY SD 4J,Oregon,OR ,Amity SD 4J,4101230,15909,1-Regular local school district that is NOT a component of a supervisory union
AMITYVILLE UNION FREE SCHOOL DISTRICT,New York,NY ,AMITYVILLE UNION FREE SCHOOL DISTRICT,3602940,35637,1-Regular local school district that is NOT a component of a supervisory union
AMORY SCHOOL DIST,Mississippi,MS ,AMORY SCHOOL DIST,2800450,11111,1-Regular local school district that is NOT a component of a supervisory union
AMPHITHEATER UNIFIED DISTRICT (4406),Arizona,AZ ,Amphitheater Unified District (4406),0400680,11759,1-Regular local school district that is NOT a component of a supervisory union
AMSTERDAM CITY SCHOOL DISTRICT,New York,NY ,AMSTERDAM CITY SCHOOL DISTRICT,3602970,22032,1-Regular local school district that is NOT a component of a supervisory union
AMSTERDAM ELEM,Montana,MT ,Amsterdam Elem,3001980,10628,1-Regular local school district that is NOT a component of a supervisory union
ANACONDA ELEM,Montana,MT ,Anaconda Elem,3002010,15966,1-Regular local school district that is NOT a component of a supervisory union
ANACONDA H S,Montana,MT ,Anaconda H S,3002030,11898,1-Regular local school district that is NOT a component of a supervisory union
ANACORTES SCHOOL DISTRICT,Washington,WA ,Anacortes School District,5300150,19988,1-Regular local school district that is NOT a component of a supervisory union
ANADARKO,Oklahoma,OK ,ANADARKO,4003000,13346,1-Regular local school district that is NOT a component of a supervisory union
ANAHEIM ELEMENTARY,California,CA ,Anaheim Elementary,0602610,20808,1-Regular local school district that is NOT a component of a supervisory union
ANAHEIM UNION HIGH,California,CA ,Anaheim Union High,0602630,18685,1-Regular local school district that is NOT a component of a supervisory union
ANAHUAC ISD,Texas,TX ,ANAHUAC ISD,4808190,14173,1-Regular local school district that is NOT a component of a supervisory union
ANAMOOSE 14,North Dakota,ND ,ANAMOOSE 14,3801950,34662,1-Regular local school district that is NOT a component of a supervisory union
ANAMOSA COMM SCHOOL DISTRICT,Iowa,IA ,Anamosa Comm School District,1903570,15889,1-Regular local school district that is NOT a component of a supervisory union
ANCHOR BAY SCHOOL DISTRICT,Michigan,MI ,Anchor Bay School District,2602790,13788,1-Regular local school district that is NOT a component of a supervisory union
ANCHORAGE INDEPENDENT,Kentucky,KY ,Anchorage Independent,2100090,24828,1-Regular local school district that is NOT a component of a supervisory union
ANCHORAGE SCHOOL DISTRICT,Alaska,AK ,Anchorage School District,0200180,18698,1-Regular local school district that is NOT a component of a supervisory union
ANDALUSIA CITY,Alabama,AL ,Andalusia City,0100060,13110,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON,Oklahoma,OK ,ANDERSON,4003010,11927,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON 01,South Carolina,SC ,Anderson 01,4500780,14120,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON 02,South Carolina,SC ,Anderson 02,4500810,13073,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON 03,South Carolina,SC ,Anderson 03,4500840,14355,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON 04,South Carolina,SC ,Anderson 04,4500870,15497,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON 05,South Carolina,SC ,Anderson 05,4500900,14281,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON 80,South Carolina,SC ,Anderson 80,4500760,–,9-Specialized public school district
ANDERSON 81,SOUTH CAROLINA,SC ,Anderson 81,4503911,–,9-Specialized public school district
ANDERSON COMMUNITY SCHOOL CORP,Indiana,IN ,Anderson Community School Corp,1800150,16906,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON COUNTY,Kentucky,KY ,Anderson County,2100120,11798,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON COUNTY,Tennessee,TN ,Anderson County,4700090,13496,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON ELEM,Montana,MT ,Anderson Elem,3002070,23322,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON UNION HIGH,California,CA ,Anderson Union High,0602700,16046,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON VALLEY UNIFIED,California,CA ,Anderson Valley Unified,0602730,21225,1-Regular local school district that is NOT a component of a supervisory union
ANDERSON-SHIRO CISD,Texas,TX ,ANDERSON-SHIRO CISD,4808230,13548,1-Regular local school district that is NOT a component of a supervisory union
ANDES CENTRAL SCHOOL DISTRICT,New York,NY ,ANDES CENTRAL SCHOOL DISTRICT,3603000,70929,1-Regular local school district that is NOT a component of a supervisory union
ANDES CENTRAL SCHOOL DISTRICT 11-1,South Dakota,SD ,Andes Central School District 11-1,4639540,19078,1-Regular local school district that is NOT a component of a supervisory union
